         1649406 function calls (1623185 primitive calls) in 28.407 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
      360    0.001    0.000    0.006    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/pyclbr.py:344(_getname)
     1650    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      932    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:233(__next)
       28    0.000    0.000    0.001    0.000 /usr/local/lib/python3.7/site-packages/tcod/console.py:363(__deprecate_defaults)
       29    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
     57/6    0.000    0.000    0.006    0.001 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:417(_parse_sub)
       28    0.000    0.000    0.002    0.000 /usr/local/lib/python3.7/site-packages/tcod/console.py:423(print_)
     1701    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      550    0.000    0.000    0.000    0.000 /Users/alvarosalvagno/roguelike/roguelike/esper.py:91(create_entity)
       14    0.000    0.000    2.077    0.148 /Users/alvarosalvagno/roguelike/roguelike/processors/main_title_processor.py:44(process)
      848    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/pyclbr.py:62(_addchild)
      109    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      286    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:111(__init__)
       62    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_compile.py:276(_optimize_charset)
     1720    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       48    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/tokenize.py:350(detect_encoding)
      180    0.000    0.000    0.004    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/pyclbr.py:322(_getnamelist)
      673    0.000    0.000    0.001    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:254(get)
       48    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:557(decode_source)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/site-packages/tcod/console.py:292(clear)
       57    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:408(_uniq)
       14    0.000    0.000    0.002    0.000 /Users/alvarosalvagno/roguelike/roguelike/processors/main_title_processor.py:27(process)
      786    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/pyclbr.py:79(_addmethod)
      550    0.000    0.000    0.000    0.000 /Users/alvarosalvagno/roguelike/roguelike/components.py:41(__init__)
        4    0.000    0.000    0.001    0.000 /usr/local/lib/python3.7/site-packages/tcod/console.py:96(__init__)
      529    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:249(match)
      678    0.000    0.000    0.000    0.000 {built-in method builtins.min}
    46/23    0.000    0.000    0.001    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/inspect.py:2198(_signature_from_callable)
      487    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:160(__len__)
       24    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       48    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:775(get_source)
       15    0.000    0.000   26.993    1.800 /Users/alvarosalvagno/roguelike/roguelike/esper.py:299(_process)
